time,Open,High,Low,Close
,^NSEBANK,^NSEBANK,^NSEBANK,^NSEBANK
2026-01-16 09:15:00,59590.3515625,59767.05078125,59517.8515625,59735.1015625
2026-01-16 09:20:00,59733.6015625,59752.6484375,59676.75,59706.69921875
2026-01-16 09:25:00,59706.69921875,59791.1015625,59693.6484375,59763.6484375
2026-01-16 09:30:00,59764.44921875,59773.6484375,59702.6015625,59760.1015625
2026-01-16 09:35:00,59759.8984375,59804.8984375,59727.19921875,59747.94921875
2026-01-16 09:40:00,59745.1484375,59854.1015625,59738.44921875,59849.6484375
2026-01-16 09:45:00,59849.6484375,59931.25,59843.3515625,59905.3984375
2026-01-16 09:50:00,59899.05078125,59982.75,59899.05078125,59956.6484375
2026-01-16 09:55:00,59948.55078125,59968.75,59919.3984375,59935.1484375
2026-01-16 10:00:00,59936.3984375,59989.44921875,59924.3984375,59984.25
2026-01-16 10:05:00,59983.25,59984.55078125,59928.25,59965.75
2026-01-16 10:10:00,59970.8515625,60026.3984375,59943.75,60008.44921875
2026-01-16 10:15:00,60006.8515625,60078.69921875,60004.5,60071.94921875
2026-01-16 10:20:00,60075.0,60088.25,60051.44921875,60082.80078125
2026-01-16 10:25:00,60079.6484375,60155.55078125,60078.5,60143.25
2026-01-16 10:30:00,60145.69921875,60159.80078125,60106.6015625,60115.6015625
2026-01-16 10:35:00,60115.94921875,60155.94921875,60106.69921875,60129.30078125
2026-01-16 10:40:00,60129.44921875,60133.8515625,60048.3984375,60064.80078125
2026-01-16 10:45:00,60064.1484375,60105.19921875,60050.3515625,60097.80078125
2026-01-16 10:50:00,60097.8984375,60105.5,60069.8515625,60098.6484375
2026-01-16 10:55:00,60098.3515625,60112.1015625,60042.30078125,60051.44921875
2026-01-16 11:00:00,60049.25,60077.5,60028.0,60041.6484375
2026-01-16 11:05:00,60044.55078125,60076.1484375,60038.30078125,60048.1015625
2026-01-16 11:10:00,60043.1015625,60050.75,59993.0,60022.8984375
2026-01-16 11:15:00,60021.1484375,60034.75,60005.5,60024.55078125
2026-01-16 11:20:00,60025.69921875,60059.6484375,60019.05078125,60035.8984375
2026-01-16 11:25:00,60038.25,60081.44921875,60033.05078125,60079.44921875
2026-01-16 11:30:00,60078.30078125,60118.69921875,60051.0,60071.1015625
2026-01-16 11:35:00,60067.3984375,60083.8984375,60024.25,60024.8515625
2026-01-16 11:40:00,60021.94921875,60057.55078125,60021.1015625,60026.44921875
2026-01-16 11:45:00,60026.1015625,60045.69921875,59998.44921875,60029.05078125
2026-01-16 11:50:00,60028.44921875,60063.55078125,60021.94921875,60030.6015625
2026-01-16 11:55:00,60030.0,60044.55078125,60003.94921875,60007.6484375
2026-01-16 12:00:00,60014.0,60053.6484375,60012.1015625,60046.94921875
2026-01-16 12:05:00,60045.55078125,60081.94921875,60026.0,60076.25
2026-01-16 12:10:00,60070.94921875,60096.6015625,60057.75,60084.3515625
2026-01-16 12:15:00,60085.1015625,60094.8515625,60036.3515625,60051.25
2026-01-16 12:20:00,60051.6484375,60068.75,60009.19921875,60019.94921875
2026-01-16 12:25:00,60020.30078125,60026.3984375,59899.1015625,59972.1015625
2026-01-16 12:30:00,59968.0,60041.69921875,59948.75,60015.8984375
2026-01-16 12:35:00,60017.19921875,60037.5,59981.75,60025.6484375
2026-01-16 12:40:00,60030.6015625,60065.1484375,60009.8515625,60047.30078125
2026-01-16 12:45:00,60050.6484375,60055.05078125,60011.25,60020.94921875
2026-01-16 12:50:00,60023.55078125,60054.1015625,59961.8515625,60052.55078125
2026-01-16 12:55:00,60055.69921875,60055.69921875,59980.69921875,59989.6484375
2026-01-16 13:00:00,59989.6015625,59994.30078125,59927.8515625,59966.25
2026-01-16 13:05:00,59966.75,60000.19921875,59951.0,59980.75
2026-01-16 13:10:00,59980.75,59987.94921875,59954.3984375,59980.5
2026-01-16 13:15:00,59981.0,60008.8984375,59971.30078125,60007.8515625
2026-01-16 13:20:00,60011.5,60026.1484375,59959.75,59976.55078125
2026-01-16 13:25:00,59978.8984375,60035.80078125,59916.75,60034.0
2026-01-16 13:30:00,60033.80078125,60079.80078125,60022.75,60047.25
2026-01-16 13:35:00,60043.3984375,60065.1015625,60006.6015625,60056.25
2026-01-16 13:40:00,60055.1015625,60068.94921875,60015.8515625,60033.8515625
2026-01-16 13:45:00,60031.5,60083.3984375,60022.94921875,60047.8515625
2026-01-16 13:50:00,60046.8515625,60076.3515625,60006.69921875,60023.8984375
2026-01-16 13:55:00,60024.3515625,60057.30078125,60019.6015625,60039.55078125
2026-01-16 14:00:00,60042.94921875,60050.8984375,60000.1484375,60010.30078125
2026-01-16 14:05:00,60006.8984375,60051.80078125,59977.55078125,59977.55078125
2026-01-16 14:10:00,59976.5,60049.30078125,59969.3515625,60035.75
2026-01-16 14:15:00,60035.75,60052.19921875,59999.69921875,60050.3984375
2026-01-16 14:20:00,60051.6015625,60075.19921875,60048.5,60060.8984375
2026-01-16 14:25:00,60062.80078125,60094.30078125,60039.1484375,60057.1015625
2026-01-16 14:30:00,60059.6015625,60096.69921875,60036.69921875,60083.94921875
2026-01-16 14:35:00,60083.94921875,60106.1015625,60046.30078125,60096.80078125
2026-01-16 14:40:00,60095.8984375,60112.44921875,60078.30078125,60092.44921875
